Negative Tweet,Negative Score,Cluster
years since diagnosed anxiety depression today taking moment reflect come since,0.375,2
awake tired need sleep brain ideas,0.367,2
cant bothered cook take away lazy,0.295,0
urgh anxiety come breathe,0.362,2
even smallest thing still makes heart break doesnt feel like ever goes away,0.15,0
headache took three hours woke confused time,0.277,0
rspcaofficial ncolondon rspcaofficial please owner getting distraught lost http,0.415,2
bbccambs flying displays vintage jets significantly restricted notice limited pasts,0.36,2
dont sleep like catsoftwitter,0.413,2
offensivebanter awful,0.75,1
awfulness continues heartbreaking,0.6,1
lazy afternoon snooze kitty lazysunday,0.385,2
pain heartbreak tragedy confusing emotion feel sadness south coast friends shoreham,0.667,1
brightonargus diversion route likely remain place shoreham crash,0.278,0
jackdineen media highlights hypocrisy humans tragedy global many choose ignore whats doorstep,0.408,2
hope pilot pulls theres enough death today shoreham,0.305,0
sarahbooker yorkshireguy urgh awful,0.5,2
yorkshireguy sarahbooker cant shake image unsuspecting people driving along minding business tragically,0.243,0
sarahbooker dear horrific image awful awful awful,0.744,1
bbcbreaking people confirmed dead plane crashed several vehicles shoreham airshow,0.323,0
sarahbooker reporting fatalities awful,0.775,1
toaster shopping needlessly confusing,0.388,2
finding hard find funky decent quality toaster reasonable price silver boring cheap looking firstworldproblems,0.317,0
bbcsussex footage released shoreham crash content obviously distressing,0.474,2
awful awful tragedy lets hope casualties,0.68,1
depression illness,1.0,1
untreated mental illness leaves dead mentalillness,0.636,1
stereotypes teens undermine parents,0.423,2
parenting mental illness mentalillness,0.474,2
heroin deaths surge,0.615,1
mental suffering like illness mentalillness,0.563,2
wounded veterans suffer ptsd,0.538,2
stressed tired rushed family,0.726,1
whats traumatic birth,0.649,1
addiction crisis,0.804,1
could jewelry help prevent sexual assault,0.358,2
subtle suicide,0.818,1
halloween traumatize children,0.63,1
white suicide substance abuse,0.813,1
children inherit anxiety,0.459,2
happens prevent every suicide,0.592,1
teens selfharm bullying sexting,0.565,2
stop child abuse,0.865,1
know signs child neglect,0.5,2
messages mental illness worldwide mentalillness,0.403,2
think sadness depression,0.868,1
comes stress women worse,0.747,1
poor parenting children behavior problems,0.659,1
subtle signs depression,0.649,1
accountants mental health stress,0.483,2
another counter anxiety,0.459,2
early life stress lead depression later,0.619,1
seniors cope depression,0.649,1
make sense depression,0.649,1
stress effect health,0.583,1
black mental illness mentalillness,0.474,2
understanding anxiety,0.63,1
tackling feelings resentment,0.592,1
myths undermine addiction recovery,0.423,2
many people know cocaine problem addiction,0.351,2
refusing treatment bipolar disorder,0.73,1
spotlight prescription drug abuse,0.583,1
screening children depression physical exams,0.481,2
australian mental health system broken,0.437,2
know bipolar disorder,0.574,1
anyone expressed concern much worry anxiety,0.535,2
tips overcome depression,0.649,1
suicide survivors point view,0.6,1
increased funding youth mental health substance abuse prevention,0.341,0
anxiety depression,1.0,1
child becomes bully,0.615,1
ever suspected someone experiencing ptsd,0.322,0
post partum depression look like,0.402,2
deal aggressive children,0.444,2
keeping poor children school,0.508,2
know shyness,0.697,1
ever feelings emptiness,0.592,1
talked college parenting stress,0.483,2
kids toddlers depression,0.649,1
consequences making threats suicide,0.785,1
married dissatisfied marriage,0.565,2
gender bias comes expressing anger,0.63,1
college minor substance abuse addiction,0.512,2
college minor substance abuse addiction,0.512,2
people mental illness need listened mentalillness,0.351,2
young medicate anxiety toddlers,0.362,2
paid sick days mental health reasons mentalhealth,0.355,2
domestic violence victims taking control back women,0.561,2
questionable parenting magazines,0.524,2
struggling parenting teen,0.583,1
strategies bipolar disorder,0.574,1
obsess food,0.667,1
childhood adversity change brains,0.483,2
think mentally women targeted abused mentalillness,0.398,2
partner diagnosed borderline personality disorder,0.403,2
american teens reckless teens elsewhere,0.403,2
ever thought depression complex simple mental health screen,0.346,2
many parents would know child diagnosed depression,0.381,2
reasonable plan address addiction problem,0.403,2
ever wondered mental illness could impact insurance coverage mentalillness,0.252,0
marriage harming children,0.643,1
anxiety children,0.63,1
celebreties depression,0.787,1
